timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
16641072758,415,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641086496,416,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641112761,417,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641147742,418,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641210241,419,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641214497,420,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641263933,421,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641324031,422,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641336254,423,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641349948,424,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641369927,425,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641400134,426,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641437743,427,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641462793,428,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641500133,429,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641538783,430,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641549958,431,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641595385,432,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641633824,433,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641697931,434,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641714233,435,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641728882,436,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641740061,437,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641771540,438,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641845279,439,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641857455,440,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641865163,441,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641901190,442,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641940136,443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
